pro_id	gene_id	pro_name	gene_name
A0A0A0MS04	ENSG00000282470	TVB67	TRBV6-7
A0A0A0MS04	ENSG00000253188	TVB67	TRBV6-7
A0A0A0MS05	ENSG00000282748	TVB57	TRBV5-7
A0A0A0MS05	ENSG00000211731	TVB57	TRBV5-7
A0A0A0MS06	ENSG00000282449	TVB23	TRBV23-1
A0A0A0MS06	ENSG00000211749	TVB23	TRBV23-1
A0A0A0MS14	ENSG00000282776	HV145	IGHV1-45
A0A0A0MS14	ENSG00000211961	HV145	IGHV1-45
A0A0A0MS15	ENSG00000275316	HV349	IGHV3-49
A0A0A0MS15	ENSG00000211965	HV349	IGHV3-49
A0A0A0MT36	ENSG00000225523	KVD21	IGKV6D-21
A0A0A0MT70	ENSG00000282154	TJB26	TRBJ2-6
A0A0A0MT70	ENSG00000211770	TJB26	TRBJ2-6
A0A0A0MT76	ENSG00000211674	LJ01	IGLJ1
A0A0A0MT78	ENSG00000211771	TJB27	TRBJ2-7
A0A0A0MT87	ENSG00000282380	TJB24	TRBJ2-4
A0A0A0MT87	ENSG00000211768	TJB24	TRBJ2-4
A0A0A0MT89	ENSG00000211597	KJ01	IGKJ1
A0A0A0MT94	ENSG00000282272	TJB22	TRBJ2-2
A0A0A0MT94	ENSG00000211765	TJB22	TRBJ2-2
A0A0A0MTA2	ENSG00000211766	TRBJ2-2P	TRBJ2-2P
A0A0A0MTA4	ENSG00000282820	TJB25	TRBJ2-5
A0A0A0MTA4	ENSG00000211769	TJB25	TRBJ2-5
A0A0A0MTA7	ENSG00000282488	TJB21	TRBJ2-1
A0A0A0MTA7	ENSG00000211764	TJB21	TRBJ2-1
A0A0A6YYC5	ENSG00000211792	TVA14	TRAV14DV4
A0A0A6YYD4	ENSG00000282407	TVB13	TRBV13
A0A0A6YYD4	ENSG00000276405	TVB13	TRBV13
A0A0A6YYG2	ENSG00000211724	TVB66	TRBV6-6
A0A0A6YYG3	ENSG00000253534	TVB68	TRBV6-8
A0A0A6YYJ7	ENSG00000211787	TVA83	TRAV8-3
A0A0A6YYK1	ENSG00000211782	TVA81	TRAV8-1
A0A0A6YYK4	ENSG00000282225	TVB71	TRBV7-1
A0A0A6YYK4	ENSG00000211707	TVB71	TRBV7-1
A0A0A6YYK6	ENSG00000211796	TVA16	TRAV16
A0A0A6YYK7	ENSG00000211799	TVA19	TRAV19
A0A0A6YYL3	ENSG00000233917	POTEB	POTEB
A0A0B4J1U3	ENSG00000273737	LV136	IGLV1-36
A0A0B4J1U3	ENSG00000211655	LV136	IGLV1-36
A0A0B4J1U4	ENSG00000211697	TRGV5	TRGV5
A0A0B4J1U6	ENSG00000211716	TVB9	TRBV9
A0A0B4J1U7	ENSG00000282745	HV601	IGHV6-1
A0A0B4J1U7	ENSG00000211933	HV601	IGHV6-1
A0A0B4J1V0	ENSG00000282290	HV315	IGHV3-15
A0A0B4J1V0	ENSG00000211943	HV315	IGHV3-15
A0A0B4J1V1	ENSG00000282281	HV321	IGHV3-21
A0A0B4J1V1	ENSG00000211947	HV321	IGHV3-21
A0A0B4J1V2	ENSG00000282344	HV226	IGHV2-26
A0A0B4J1V2	ENSG00000211951	HV226	IGHV2-26
A0A0B4J1V6	ENSG00000273539	HV373	IGHV3-73
A0A0B4J1V6	ENSG00000211976	HV373	IGHV3-73
A0A0B4J1V7	ENSG00000211979	HV781	IGHV7-81
A0A0B4J1W7	ENSG00000233024	NPIA9	NPIPA9
A0A0B4J1X5	ENSG00000282305	HV374	IGHV3-74
A0A0B4J1X5	ENSG00000224650	HV374	IGHV3-74
A0A0B4J1X8	ENSG00000282151	HV343	IGHV3-43
A0A0B4J1X8	ENSG00000232216	HV343	IGHV3-43
A0A0B4J1Y8	ENSG00000223350	LV949	IGLV9-49
A0A0B4J1Y9	ENSG00000278042	HV372	IGHV3-72
A0A0B4J1Y9	ENSG00000225698	HV372	IGHV3-72
A0A0B4J1Z2	ENSG00000242580	KVD43	IGKV1D-43
A0A0B4J200	ENSG00000282371	TJB23	TRBJ2-3
A0A0B4J200	ENSG00000211767	TJB23	TRBJ2-3
A0A0B4J234	ENSG00000211776	TVA2	TRAV2
A0A0B4J235	ENSG00000211791	TVAM2	TRAV13-2
A0A0B4J237	ENSG00000211786	TVA82	TRAV8-2
A0A0B4J238	ENSG00000256553	TVA12	TRAV1-2
A0A0B4J240	ENSG00000211784	TVA10	TRAV10
A0A0B4J241	ENSG00000211788	TVAM1	TRAV13-1
A0A0B4J244	ENSG00000211777	TVA3	TRAV3
A0A0B4J245	ENSG00000211785	TVAL1	TRAV12-1
A0A0B4J248	ENSG00000255569	TVA11	TRAV1-1
A0A0B4J249	ENSG00000211779	TVA5	TRAV5
A0A0B4J262	ENSG00000211795	TVA86	TRAV8-6
A0A0B4J263	ENSG00000211818	TVA39	TRAV39
A0A0B4J264	ENSG00000211816	TV381	TRAV38-1
A0A0B4J265	ENSG00000211812	TVAZ2	TRAV26-2
A0A0B4J266	ENSG00000211820	TVA41	TRAV41
A0A0B4J268	ENSG00000211778	TVA4	TRAV4
A0A0B4J271	ENSG00000211794	TVAL3	TRAV12-3
A0A0B4J272	ENSG00000211805	TVA24	TRAV24
A0A0B4J273	ENSG00000211813	TVA34	TRAV34
A0A0B4J274	ENSG00000211800	TVA20	TRAV20
A0A0B4J275	ENSG00000211797	TVA17	TRAV17
