Sample_ID,Sex,Age,Gene_name,PRM,DIA
NCN005,male,36,APOC1,2478.537109,603.149353
NCN005,male,36,GBA1,140.2939453,166.0207672
NCN005,male,36,APOB,10869.22461,1855.147095
NCN005,male,36,KRT6B,2281.922852,12368.5293
NCN005,male,36,ARG1,106.4873962,56.14398575
NCN005,male,36,ALDH2,1960.548584,770.47052
NCN005,male,36,POLB,3.812470913,35.91608429
NCN005,male,36,IVL,26.47097397,357.0879211
NCN005,male,36,RPSA,1834.656982,1203.770142
NCN005,male,36,LGALS1,19758.38281,5899.289551
NCN005,male,36,GSTM1,174.1343384,11.12489128
NCN005,male,36,GAA,265.6361389,182.9332581
NCN005,male,36,RALB,293.3262939,312.4778442
NCN005,male,36,COL6A3,59955.70703,25445.54688
NCN005,male,36,NQO1,40.43490601,38.02961731
NCN005,male,36,DSP,9335.678711,3889.908936
NCN005,male,36,FLNA,10246.0166,14929.88086
NCN005,male,36,TNXB,1934.014282,1114.380005
NCN005,male,36,FDXR,205.5077057,73.23422241
NCN005,male,36,PSMB9,331.97052,66.56800842
NCN005,male,36,ATIC,497.199646,361.8080444
NCN005,male,36,YWHAB,2320.202637,6146.600586
NCN005,male,36,PRDX2,3671.796875,2350.115967
NCN005,male,36,FBN1,4360.702148,3148.713867
NCN005,male,36,TIMP3,48.25033569,49.35139465
NCN005,male,36,GPX4,535.7615356,374.9169006
NCN005,male,36,TSFM,164.3050385,127.4638138
NCN005,male,36,ACADSB,136.144043,68.94156647
NCN005,male,36,GSTM5,98.54924774,462.105957
NCN005,male,36,LGALS7B,18060.24023,14242.94238
NCN005,male,36,LGALS7,18060.24023,14242.94238
NCN005,male,36,SERPINB8,154.7558441,288.0881958
NCN005,male,36,EPPK1,586.6912842,1279.105957
NCN005,male,36,S100A10,17175.53906,6183.512695
NCN005,male,36,RPS8,2128.143066,1963.743042
NCN005,male,36,RPS27A,389.9338684,9553.173828
NCN005,male,36,TUBB4B,887.8326416,11948.62891
NCN005,male,36,HBB,196897.0625,96005.07813
NCN005,male,36,PRKDC,268.7597656,443.5545349
NCN005,male,36,HSPG2,1204.314331,2993.061523
NCN005,male,36,SPTBN1,414.3497009,1153.855469
NCN005,male,36,AHNAK,4024.781494,2997.709229
NCN005,male,36,CNTN1,112.9215088,100.1024551
NCN005,male,36,SGCG,50.00170135,18.72844505
NCN005,male,36,STIM1,267.6447144,75.65739441
NCN005,male,36,SPTAN1,1232.735718,1891.043213
NCN005,male,36,PKP1,5246.118652,4200.242676
NCN005,male,36,DYNC1H1,713.8352051,3408.289063
NCN005,male,36,PLEC,2241.047119,3844.786377
NCN005,male,36,ELOC,178.6407013,131.7696075
NCN005,male,36,QPCT,162.6723022,71.99940491
NCN005,male,36,HSP90AB4P,159.5149689,56.51984787
NCN005,male,36,CAVIN1,2504.307861,868.7843018
NCN005,male,36,PLBD1,160.9677429,113.4368668
NCN005,male,36,DGAT2L6,224.672348,68.54940796
NCN005,male,36,DGLUCY,233.054657,140.6867981
NCN005,male,36,TMEM179B,130.7045746,47.77191162
NCN005,male,36,STING1,279.7184143,134.3112335
NCN005,male,36,AHNAK2,2079.140381,926.7169189
NCN005,male,36,CMTR1,24.2328701,26.86808205
NCN005,male,36,PTGR3,33.53660583,39.73940659
NCN005,male,36,DDB2,123.7007446,49.71464157
NCN005,male,36,ARL8A,97.19843292,240.0062408
NCN005,male,36,PTER,235.9611664,45.93819427
NCN005,male,36,MMAB,137.2858124,74.28520966
NCN005,male,36,PDLIM2,731.8215942,108.2241745
NCN005,male,36,HNRNPAB,647.0673218,479.9518738
NCN005,male,36,CPNE1,839.3269653,421.6151733
NCN005,male,36,TREX2,16.73402405,6.740125179
NCN005,male,36,AAMDC,151.0901947,59.03393936
NCN005,male,36,FN3KRP,123.6038208,49.96875
NCN005,male,36,PLGRKT,265.4224854,69.0369339
NCN005,male,36,CZIB,115.4858246,24.81886292
NCN005,male,36,ERAP1,772.4316406,310.5413513
NCN005,male,36,COPG2,141.4148102,39.06500626
NCN005,male,36,NIPSNAP3A,304.9238281,255.4843445
NCN005,male,36,COG6,10.24427223,21.41358376
NCN005,male,36,CRYBG1,118.5361176,226.9436798
NCN005,male,36,ATP6V1D,251.3955994,117.1786499
NCN005,male,36,SQOR,794.0588989,685.2055054
NCN006,female,34,FLNB,778.1716919,3132.159912
NCN006,female,34,NDUFB1,620.3779297,82.43964386
NCN006,female,34,H6PD,385.4540405,574.6602783
NCN006,female,34,F12,104.1130981,44.84402466
NCN006,female,34,CSTA,10393.4209,4599.101563
NCN006,female,34,IGKC,37067.55859,38.25130463
NCN006,female,34,IGHG3,503.6178589,433.4662476
NCN006,female,34,IGHM,1407.608276,907.1483154
NCN006,female,34,IGHA1,4321.228027,1442.85083
NCN006,female,34,HBD,8851.974609,1490.853271
NCN006,female,34,COL1A1,106302.8906,47485.02734
NCN006,female,34,KRT6A,2628.291016,37175.00391
NCN006,female,34,APOC1,1424.307373,295.5950928
NCN006,female,34,GBA1,584.9537354,178.1062164
NCN006,female,34,APOB,3227.179199,788.7451782
NCN006,female,34,KRT6B,2018.003906,7314.939453
NCN006,female,34,ARG1,2017.548096,302.3110657
NCN006,female,34,ALDH2,1783.010254,425.3075562
NCN006,female,34,POLB,29.72245026,26.16160202
NCN006,female,34,IVL,26.47097397,427.8848877
NCN006,female,34,RPSA,3381.377441,1199.181519
NCN006,female,34,LGALS1,13798.22266,2717.622559
NCN006,female,34,GSTM1,174.1343384,20.25296402
NCN006,female,34,GAA,795.5830078,248.0797424
NCN006,female,34,RALB,261.9556885,233.527832
NCN006,female,34,COL6A3,113026.1719,27113.375
NCN006,female,34,NQO1,146.3890533,25.10290337
NCN006,female,34,DSP,37498.05469,9983.136719
NCN006,female,34,FLNA,11308.65039,9425.393555
NCN006,female,34,TNXB,9445.820313,3675.134521
NCN006,female,34,FDXR,459.2591248,127.1608429
NCN006,female,34,PSMB9,519.184082,76.43946075
NCN006,female,34,ATIC,771.9517822,426.0670166
NCN006,female,34,YWHAB,3077.460938,6303.337891
NCN006,female,34,PRDX2,2660.303467,1086.987427
NCN006,female,34,FBN1,7537.496582,4389.951172
NCN006,female,34,TIMP3,123.1738815,43.51352692
NCN006,female,34,GPX4,569.8102417,236.8134918
NCN006,female,34,TSFM,337.0235596,118.3647461
