pro_id,intensity,tissue
O43657,17.7246306777081,colon
O43657,13.3254305726809,heart
O43657,20.0199241108344,liver
O43657,17.1229573681507,lung
O43657,17.2748721165977,thyroid
O60762,19.4420507656717,colon
O60762,18.2568287306471,heart
O60762,21.531325203084,liver
O60762,21.4300558499778,lung
O60762,22.2387770751836,thyroid
Q8IZE3,14.7852920066899,colon
Q8IZE3,19.6620664329173,liver
Q8IZE3,17.0431884883157,lung
Q8IZE3,17.4779051395673,thyroid
P09769,14.1448373306556,heart
P09769,17.7822185362482,liver
P09769,22.4750485800783,lung
P08603,25.5352081816162,colon
P08603,24.5402256074582,heart
P08603,25.5520978598696,liver
P08603,26.3150670207398,lung
P08603,24.8087019791766,thyroid
Q9BTY2,18.1015206011454,colon
Q9BTY2,17.4903900649767,heart
Q9BTY2,21.4474270402024,liver
Q9BTY2,21.9307986683679,lung
Q9BTY2,23.7768639730309,thyroid
P48506,23.5926712902035,colon
P48506,21.6819901549502,heart
P48506,25.0796778187429,liver
P48506,22.8598032540846,lung
P48506,22.9783707980794,thyroid
P23511,14.6689988333826,colon
P23511,16.8729335630082,lung
P23511,18.6662828228813,thyroid
Q6P499,17.6999849157618,lung
Q9Y4W2,19.159751314627,colon
Q9Y4W2,13.7362858047455,heart
Q9Y4W2,20.0236349959577,liver
Q9Y4W2,20.6849820183829,lung
Q9Y4W2,20.4419371966053,thyroid
Q9Y6X5,19.6428364062085,colon
Q9Y6X5,20.2305846286806,heart
Q9Y6X5,20.8527002191334,liver
Q9Y6X5,22.7219105766813,lung
Q9Y6X5,20.8612036426893,thyroid
Q13275,13.771292272502,thyroid
Q9P2G1,17.7978781223126,colon
Q9P2G1,18.2446764595524,heart
Q9P2G1,15.6681074997128,liver
Q9P2G1,16.8795218037757,lung
Q16850,19.3489819215073,colon
Q16850,18.4559477647,heart
Q16850,23.7562956367489,liver
Q16850,23.0562253423981,lung
Q16850,20.2700007231175,thyroid
O00522,16.5900144690719,colon
O00522,17.0014394854103,liver
O00522,18.3515270056064,lung
O00522,16.757040193515,thyroid
Q92934,17.8439175826803,colon
Q92934,18.7908837459855,heart
Q92934,20.0548209259705,liver
