gene_id,rho,rho_p,protein_log_median,protein_log_mean,rna_log_median,rna_log_mean
ENSG00000000003,0.0771962714939584,0.278477761385334,0.580754050604526,0.950191237753583,0.350551839642477,0.401020150525682
ENSG00000000419,-0.127776762600883,0.0721172052817343,4.86250308124182,4.8713885513608,2.68961791766712,2.70525329970061
ENSG00000000971,0.10910765950967,0.124951374431547,7.30894637382743,7.30147144916618,2.45728899689698,2.48051395458705
ENSG00000001036,0.128097488747516,0.0713741881894849,4.23084731776389,4.16970153457588,1.06592779245809,1.12999654629709
ENSG00000001084,0.0276838739150297,0.697668102182835,5.59815076778492,5.62014071992199,1.46120882608202,1.46549643853923
ENSG00000001497,0.102268522122974,0.150616268989921,0.796636172058455,1.4536153680539,1.33974068733011,1.29366728603459
ENSG00000001561,0.0571107848488911,0.42300099710893,3.70421930173162,3.54850608507134,0.12569476632314,0.173443228039507
ENSG00000001629,-0.0677253104897092,0.341880455298445,0.342032576383208,0.8461791763267,2.29483890515186,2.2781620758604
ENSG00000001630,0.0022028184393401,0.975366151873547,4.49395463512702,4.37781639429257,2.97308104739531,2.93291668673384
ENSG00000002549,0.279489873610477,6.8282446073791e-05,5.86109057031006,5.8952687219872,1.91450797327831,1.92469632767285
ENSG00000002586,0.269346733668342,0.000126431877252385,5.24837741387507,5.17936177437941,2.78772338543868,2.787636995802
ENSG00000002834,0.0204020100502513,0.77467389198874,5.4279122165833,5.44217052190317,2.06411035677025,2.05409820452559
ENSG00000002919,-0.0276163425102338,0.698611015441813,2.38563647023261,2.55594997445775,0.906223155582284,0.875438828082613
ENSG00000003056,0.0317840627446051,0.655844708244998,3.25915910022534,2.89574473600373,2.24789010587607,2.24300807359074
ENSG00000003509,0.0293332472703608,0.680868603090293,2.27296455084463,1.83959770332346,0.92579332874029,0.903564541559485
ENSG00000003756,-0.105956585513573,0.136360606871283,1.37365625614081,2.29222208105658,2.80634490062439,2.79810404489386
ENSG00000004059,-0.138267093040962,0.0515264887244922,6.75267222903291,6.75224726634901,3.00232235431608,2.92920327286881
ENSG00000004139,-0.12426303257749,0.0803451599410804,2.6091587874615,2.05774269352963,0.156692583365274,0.092766565394028
ENSG00000004142,0.219507720606011,0.00183874932802451,3.6973663257715,3.35120476943408,2.37244878520654,2.32940236763824
ENSG00000004399,0.122406428723279,0.0850043140933341,2.08497776510011,1.50790659081421,1.04379551577268,1.05633062266578
ENSG00000004455,0.252751636972743,0.00032965151720333,6.22927840373891,6.22372928580918,2.08929947990181,2.11472373276177
ENSG00000004478,0.297988426983402,2.08932631669173e-05,5.16550035297974,5.15835449618074,2.20545308728506,2.16768600635088
ENSG00000004487,-0.048375283044495,0.49744473830541,3.57610819997331,3.52603030913484,2.01441505030317,2.01071088874229
ENSG00000004700,0.150462920663926,0.0339848233889059,5.37570485655673,5.38535760933803,2.0514069916505,2.04915343628412
ENSG00000004766,-0.0456509821836455,0.521679930843396,3.26681942203898,3.2198905035079,1.2037864800537,1.16010607380725
ENSG00000004779,-0.00917182808917171,0.897696176872925,3.66663177001109,3.27809199957261,1.34122978514191,1.3240767867962
ENSG00000004864,0.113092736409319,0.1116932956861,5.92435011997137,5.9205531388508,1.7380905749892,1.74772287268412
ENSG00000004897,-0.140769656102513,0.0473476833145382,2.84602338634393,2.20879436261773,2.00033042583345,1.99362744047667
ENSG00000004961,-0.053860941013261,0.449910493210262,3.18264546638433,2.61049412681988,1.45201778038046,1.4515248433278
ENSG00000004975,0.00345571438370339,0.961364071617822,2.15113684090071,2.48163794775777,1.11608123989703,1.06109550309166
ENSG00000005007,0.0669925384498249,0.346836895800649,5.01780708587418,5.01269188639665,1.49598173573344,1.4054423469255
ENSG00000005020,-0.0644831523202867,0.365540351128403,3.72151067750586,2.93334846604413,1.45780080215552,1.43657494255348
ENSG00000005022,0.154767837204152,0.0290591061909364,5.2437454523028,5.18181124021763,3.87910847301488,3.87799217061172
ENSG00000005075,-0.0349358867032089,0.624221465508197,3.64130799142609,3.07894361242705,1.2404467682005,1.23226660620998
ENSG00000005156,0.108238945273925,0.128070829273623,4.39699845294239,4.3162444962548,1.67569040135544,1.66444230702212
ENSG00000005175,-0.206488552530369,0.0034320695883829,3.48146342962416,3.39680800873451,1.11042803680969,1.084267329483
ENSG00000005194,0.0506937584638596,0.477037255778815,4.86422945805689,4.66491680283705,1.67837879887097,1.65481567744863
ENSG00000005243,0.299303003296294,1.75127238649775e-05,1.11778772209711,2.25156203658645,1.16823720053265,1.22844365686657
ENSG00000005249,0.168323978317064,0.0174765611166314,3.91843118591083,3.89681669296222,0.47123378076334,0.542150583458811
ENSG00000005469,0.138654922647315,0.0508088384427378,1.07300473358298,1.91750650183544,1.56320759226397,1.52614236242927
ENSG00000005810,0.114368161783137,0.107730081183283,3.42604387281912,3.36641517132104,3.67493038281471,3.66560591072395
ENSG00000005884,-0.0266270747677783,0.708674890177634,5.25896279431603,5.22830891693964,1.61008023821461,1.57196446925143
ENSG00000005893,0.122539972590224,0.0846648215099796,8.00127037031723,7.9824026324315,3.29537565286709,3.27130648237498
ENSG00000006125,0.171626313385107,0.0154489633241272,5.49545615028293,5.51626578228632,2.42942661665845,2.44558398452753
ENSG00000006282,0.130383425623292,0.0664255636654184,-0.130969565479102,1.7583745389563,0.650447675916076,0.575291502583184
ENSG00000006451,-0.0654728186386478,0.357903994958182,3.29970194030542,3.27460695484427,2.20864857911926,2.22034733176892
ENSG00000006453,0.135727434710881,0.0559449703032317,3.4850023934469,3.07608439123028,1.81863195674096,1.77851853077386
ENSG00000006530,0.038326480889295,0.590655221236596,4.55537354169242,4.54640884961183,0.558650305112923,0.551094749354076
ENSG00000006607,0.105870888560519,0.136679689573178,-0.571166205040343,0.826136198857076,1.93487261393426,1.92265690418787
ENSG00000006625,0.359010202527791,2.3373556183337e-07,5.36370915745365,5.3900513184052,2.01957193387852,2.06098988194084
ENSG00000006712,0.0984589377339931,0.166496753204561,4.1358077695215,3.65927412817066,1.56596469871442,1.51411568890288
ENSG00000006715,-0.081205486430243,0.254197994542189,1.80342697505703,2.77823493144176,2.04952286345231,2.01757168860574
ENSG00000006744,0.116670121138723,0.100781708762645,3.96616367503261,3.71543221081857,1.45288724731356,1.40646275598719
ENSG00000006756,0.333234854095539,1.51369870782335e-06,3.39230558017238,3.26067899312392,1.06641544876659,1.03195636407472
ENSG00000007080,0.0600930768625973,0.399150622887481,4.10064442170327,3.60943066198497,1.02276336183553,0.921685728085981
ENSG00000007168,0.0688305162174509,0.333744883898477,5.95275921634238,5.95713774306032,3.31996234122113,3.30945668125977
ENSG00000007237,0.150312069600863,0.03408122150746,3.94766618336529,3.48917493884275,2.64992446068727,2.64228990887772
ENSG00000007392,-0.0341179392695878,0.632365455646477,3.04943883052956,2.63974217728227,2.07499909784741,2.0610918375715
ENSG00000007866,0.0357274500805714,0.616383303336052,1.45340432252706,1.75043472015189,2.45779706903581,2.35459290844092
ENSG00000007923,-0.0255411111563458,0.720275683793784,2.39792743728109,3.14638906356902,1.48513867772005,1.43654156359789
ENSG00000008018,0.159337597076291,0.0246716083280809,6.17153162154866,6.18004913663379,2.65398670508663,2.64711475288423
ENSG00000008128,0.0695126742619359,0.329262616659936,4.37022574805563,4.29783317119745,0.172143981833713,0.0901923596367586
ENSG00000008130,0.221785646944563,0.00164243229950048,0.645930728755386,1.46867713565551,1.32311339287184,1.27174387682279
ENSG00000008256,0.00230088965359409,0.97426980283175,4.4048692697936,4.03280458866868,1.73676860310599,1.72738288718413
ENSG00000008282,0.117179838586874,0.099268555620794,7.02096690029456,7.0014159499292,3.51668273099724,3.50786382652796
ENSG00000008283,-0.00936918324131296,0.895507250751885,3.99493868560725,3.7699002024856,1.4526434764345,1.39830041636174
ENSG00000008294,-0.0273397289477692,0.701245640185766,4.45662482513312,4.44418391689505,2.72167636112026,2.75897375071766
ENSG00000008311,-0.0146902291022158,0.83684026751599,3.23025771945575,3.17512287976656,1.46665029830106,1.45349956295937
ENSG00000008394,0.400392878728536,4.63867671447762e-09,4.23605331051419,4.05458222500145,-0.0670315785784249,0.167832062991897
ENSG00000008441,0.17406730622811,0.0140287433638193,4.43634614628733,4.37287829334214,3.38589392436715,3.351591531022
ENSG00000008869,0.0590100054440664,0.407717919048414,3.24524453134519,2.88697421588303,2.45670407139279,2.44168483947444
ENSG00000008988,-0.0982259783767321,0.167371570343951,4.81489599587515,4.78376336087322,4.71014283162327,4.7325889570678
ENSG00000009307,-0.195352520176641,0.00575960771018206,4.84329398855276,4.83540848957706,4.47578642365852,4.46584001302776
