disease,pro_id,nsnps,PP.H0.abf_r1,PP.H1.abf_r1,PP.H2.abf_r1,PP.H3.abf_r1,PP.H4.abf_r1
pso_eur,O95822,6530,0.5,0.3,0.1,0.1,0
pso_eur,Q6P9B6,6619,0.5,0.3,0.1,0.1,0
pso_eur,Q14019,6330,0.5,0.3,0.1,0,0
pso_eur,Q14694,6267,0.5,0.4,0.1,0.1,0
pso_eur,Q9H0B8,5983,0.6,0.3,0.1,0,0
pso_eur,O43402,5665,0.5,0.3,0.1,0.1,0
pso_eur,P13073,5667,0.5,0.3,0.1,0.1,0
pso_eur,Q9GZQ8,5170,0.6,0.3,0.1,0.1,0
pso_eur,P13498,4672,0.5,0.3,0.1,0.1,0
pso_eur,P53602,4636,0.6,0.2,0.1,0,0
pso_eur,Q2VPK5,4637,0.6,0.3,0.1,0.1,0
pso_eur,Q92508,4633,0.6,0.2,0.1,0.1,0
pso_eur,P07741,4635,0.6,0.3,0.1,0.1,0
pso_eur,P34059,4571,0.5,0.3,0.1,0.1,0
pso_eur,Q9UL33,4571,0.5,0.3,0.1,0.1,0
pso_eur,Q4G176,4437,0.5,0.3,0.1,0.1,0
pso_eur,Q9UQ90,3463,0.7,0.2,0.1,0,0
pso_eur,P26373,3334,0.7,0.2,0.1,0,0
pso_eur,Q9HD42,3128,0.7,0.2,0.1,0,0
pso_eur,Q13509,2532,0.8,0.2,0.1,0,0
pso_eur,Q9UNK0,3524,0.7,0.2,0.1,0,0
pso_eur,O60861,3610,0.6,0.3,0.1,0,0
pso_eur,P12882,3672,0.6,0.2,0.1,0,0
pso_eur,Q9UKX2,3688,0.5,0.3,0.1,0,0
pso_eur,O75880,3675,0.6,0.2,0.1,0,0
pso_eur,P45985,3400,0.7,0.2,0.1,0,0
pso_eur,Q5VIR6,1587,0.7,0.1,0.1,0,0
pso_eur,Q9HC38,1606,0.7,0.1,0.1,0,0
pso_eur,Q9HC36,1607,0.7,0.1,0.1,0,0
pso_eur,Q6DKJ4,1974,0.7,0.1,0.1,0,0
pso_eur,Q9Y584,1996,0.7,0.1,0.2,0,0
pso_eur,Q12979,2076,0.7,0.1,0.1,0,0
pso_eur,P62258,2644,0.7,0.2,0.1,0,0
pso_eur,P46108,2608,0.7,0.2,0.1,0,0
pso_eur,O00159,2607,0.6,0.2,0.1,0,0
pso_eur,Q9BT40,2575,0.7,0.2,0.1,0,0
pso_eur,Q00169,2578,0.7,0.2,0.1,0,0
pso_eur,Q6P2Q9,2479,0.7,0.2,0.1,0,0
pso_eur,Q562E7,2446,0.7,0.2,0.1,0,0
pso_eur,P08697,2402,0.7,0.2,0.1,0,0
pso_eur,P36955,2400,0.7,0.2,0.1,0,0
pso_eur,P27694,2318,0.7,0.2,0.1,0,0
pso_eur,Q9BZG8,2380,0.7,0.2,0.1,0,0
pso_eur,Q8WZ82,2405,0.7,0.2,0.1,0,0
pso_eur,Q9BQ52,4516,0.6,0.2,0.1,0,0
pso_eur,Q2NL82,2491,0.7,0.2,0.1,0,0
pso_eur,O95361,3392,0.6,0.2,0.2,0.1,0
pso_eur,Q86W50,2768,0.7,0.2,0.1,0,0
pso_eur,P0CG47,2695,0.6,0.1,0.2,0,0
