Protein_1,Protein_2,coregulation_score
A5YKK6,A0A087WSX0,6.18386596919248e-06
A5YKK6,A0A087WSY6,5.14401335641881e-06
A5YKK6,A0A087WSZ0,8.71846448804217e-06
A5YKK6,A0A0A0MS15,1.10643154381177e-05
A5YKK6,A0A0A0MT36,1.04495674423836e-05
A5YKK6,A0A0B4J1U7,8.61352252952648e-05
A5YKK6,A0A0B4J1V0,8.2668682084822e-06
A5YKK6,A0A0B4J1V6,0.000235668638387488
A5YKK6,A0A0B4J1X5,5.38801993750373e-06
A5YKK6,A0A0B4J1Y9,9.32043353544005e-06
A5YKK6,A0A0C4DH24,0.000234652991277108
A5YKK6,A0A0C4DH25,9.05895766223248e-06
A5YKK6,A0A0C4DH29,8.2798107721012e-06
A5YKK6,A0A0C4DH31,1.24660533878572e-05
A5YKK6,A0A0C4DH36,5.20872808327687e-05
A5YKK6,A0A0C4DH38,1.97063842365274e-05
A5YKK6,A0A0J9YX35,1.04387290062925e-05
A5YKK6,A0AVT1,0.00702187684640432
A5YKK6,A0FGR8,0.00131039229044578
A5YKK6,A0MZ66,0.00873563420272179
A5YKK6,A1A4S6,0.000349519797002029
A5YKK6,A1A5D9,0.000830921516012005
A5YKK6,A1IGU5,0.000799755149373955
A5YKK6,A1L0T0,0.000127374542308001
A5YKK6,A1X283,0.000431256439877402
A5YKK6,A2A3N6,0.000734978027797882
A5YKK6,A2NJV5,8.22882323298898e-06
A5YKK6,A2RRP1,0.000559290428912494
A5YKK6,A3KMH1,7.63397168157101e-05
A5YKK6,A4D0S4,0.000221743422315186
A5YKK6,A4D1P6,0.000590428429731685
A5YKK6,A5D8V6,0.00218965692496324
A6ND36,A0A075B6H7,3.49340163252808e-06
A6ND36,A0A075B6I0,1.91173205319416e-05
A6ND36,A0A075B6J1,1.81813924254626e-05
A6ND36,A0A075B6J9,3.15702996613741e-06
A6ND36,A0A075B6K4,3.07576050420388e-06
A6ND36,A0A075B6K5,2.51413186029528e-06
A6ND36,A0A075B6Q5,1.58846143521101e-05
A6ND36,A0A075B6S2,3.74888603641055e-06
A6ND36,A0A087WSX0,3.83020373422769e-06
A6ND36,A0A087WSY6,1.11266415312238e-05
A6ND36,A0A087WSZ0,6.74259556780835e-06
A6ND36,A0A0A0MS15,3.75087764564584e-06
A6ND36,A0A0A0MT36,5.28333407496702e-06
A6ND36,A0A0B4J1U7,2.87185691027604e-05
A6ND36,A0A0B4J1V0,4.17578606696776e-06
A6ND36,A0A0B4J1V6,2.8869338977392e-05
A6ND36,A0A0B4J1X5,3.04406845360958e-06
A6ND36,A0A0B4J1Y9,7.18749349354824e-06
A6ND36,A0A0C4DH24,2.5401502130348e-05
A6ND36,A0A0C4DH25,9.05995244451785e-06
A6ND36,A0A0C4DH29,3.37600982303358e-06
A6ND36,A0A0C4DH31,3.82834724255105e-06
A6ND36,A0A0C4DH36,2.18461023263522e-05
A6ND36,A0A0C4DH38,6.30165959286186e-06
A6ND36,A0A0J9YX35,1.44915930209992e-05
A6ND36,A0AVT1,0.000104330393263586
A6ND36,A0FGR8,5.27228588133062e-05
A6ND36,A0MZ66,0.000145441935097782
A6ND36,A1A4S6,4.03506183015201e-05
A6ND36,A1A5D9,0.000173552466095635
A6ND36,A1IGU5,0.000111546463329054
A6ND36,A1L0T0,1.54837477333251e-05
A6ND36,A1X283,2.98437378380788e-05
A6ND36,A2A3N6,4.2938238056669e-05
A6ND36,A2NJV5,4.86928886311736e-06
A6ND36,A2RRP1,3.27041113596425e-05
A6ND36,A3KMH1,1.34969110792985e-05
A6ND36,A4D0S4,6.55313129677293e-05
A6ND36,A4D1P6,0.00010395473957817
A6ND36,A5D8V6,5.32955278315985e-05
A6ND36,A5YKK6,0.000176073086479287
A6NDG6,A0A075B6H7,1.27012945844926e-05
A6NDG6,A0A075B6I0,2.56040730849745e-05
A6NDG6,A0A075B6J1,2.87568913109501e-05
A6NDG6,A0A075B6J9,2.10954431846647e-05
A6NDG6,A0A075B6K4,8.90305588283427e-06
A6NDG6,A0A075B6K5,3.13944446893588e-06
A6NDG6,A0A075B6Q5,2.59518776550019e-05
A6NDG6,A0A075B6S2,4.37586501595807e-05
A6NDG6,A0A087WSX0,7.00629947012107e-06
A6NDG6,A0A087WSY6,7.51702344949959e-06
A6NDG6,A0A087WSZ0,1.99035226665589e-05
A6NDG6,A0A0A0MS15,1.87824073138184e-05
A6NDG6,A0A0A0MT36,4.86845430571267e-06
A6NDG6,A0A0B4J1U7,4.20998585721174e-05
A6NDG6,A0A0B4J1V0,1.09260681542201e-05
A6NDG6,A0A0B4J1V6,1.11116815341114e-05
A6NDG6,A0A0B4J1X5,8.22764794360027e-06
A6NDG6,A0A0B4J1Y9,2.51610074713779e-05
A6NDG6,A0A0C4DH24,7.66588330923456e-05
A6NDG6,A0A0C4DH25,7.1070295673968e-06
A6NDG6,A0A0C4DH29,2.01100422160603e-05
A6NDG6,A0A0C4DH31,1.95297844468077e-05
A6NDG6,A0A0C4DH36,1.18407654021186e-05
A6NDG6,A0A0C4DH38,1.0813428656066e-05
A6NDG6,A0A0J9YX35,7.65031162466868e-06
A6NDG6,A0AVT1,0.000103154584194635
A6NDG6,A0FGR8,0.000141422953001675
A6NDG6,A0MZ66,4.93182412577419e-05
A6NDG6,A1A4S6,4.1042912921134e-05
A6NDG6,A1A5D9,2.97368671846443e-05
A6NDG6,A1IGU5,3.3347428552816e-05
A6NDG6,A1L0T0,0.000155256802374074
A6NDG6,A1X283,3.20851371334269e-05
A6NDG6,A2A3N6,0.000138957072684019
A6NDG6,A2NJV5,2.31693198409456e-05
A6NDG6,A2RRP1,8.43544751207474e-05
A6NDG6,A3KMH1,3.92666021725031e-05
A6NDG6,A4D0S4,5.17073020875582e-05
A6NDG6,A4D1P6,3.27051893941002e-05
A6NDG6,A5D8V6,9.70366889935695e-05
A6NDG6,A5YKK6,9.01147068267355e-05
A6NDG6,A6ND36,8.69291324019212e-06
A6NFQ2,A0A075B6H7,5.11515609749543e-06
A6NFQ2,A0A075B6I0,1.69976901303145e-05
A6NFQ2,A0A075B6J1,4.93071924822732e-05
A6NFQ2,A0A075B6J9,6.70695600353389e-06
A6NFQ2,A0A075B6K4,5.34607268138887e-06
A6NFQ2,A0A075B6K5,4.81208923600435e-06
A6NFQ2,A0A075B6Q5,3.31029420131563e-05
A6NFQ2,A0A075B6S2,8.97143045185509e-06
A6NFQ2,A0A087WSX0,1.24186415821641e-05
A6NFQ2,A0A087WSY6,7.81648502805771e-06
A6NFQ2,A0A087WSZ0,9.57786211608136e-06
A6NFQ2,A0A0A0MS15,1.25636149336665e-05
A6NFQ2,A0A0A0MT36,1.17181236415374e-05
A6NFQ2,A0A0B4J1U7,4.04530343681286e-05
A6NFQ2,A0A0B4J1V0,1.07092912054774e-05
A6NFQ2,A0A0B4J1V6,3.66545684456888e-05
A6NFQ2,A0A0B4J1X5,4.93963064837042e-06
A6NFQ2,A0A0B4J1Y9,1.33560052779928e-05
A6NFQ2,A0A0C4DH24,7.76164443616118e-05
A6NFQ2,A0A0C4DH25,1.11433367701659e-05
A6NFQ2,A0A0C4DH29,7.39473759434944e-06
A6NFQ2,A0A0C4DH31,1.01978856907822e-05
A6NFQ2,A0A0C4DH36,4.92410419716556e-05
A6NFQ2,A0A0C4DH38,1.25938107585875e-05
A6NFQ2,A0A0J9YX35,4.35255440463428e-06
A6NFQ2,A0AVT1,0.000382736879811853
A6NFQ2,A0FGR8,0.000224160747390405
A6NFQ2,A0MZ66,0.000282840135486626
A6NFQ2,A1A4S6,0.000117701665037651
A6NFQ2,A1A5D9,0.000186978777284294
A6NFQ2,A1IGU5,0.000146495058697749
A6NFQ2,A1L0T0,7.26514763626188e-05
A6NFQ2,A1X283,8.81883780490998e-05
A6NFQ2,A2A3N6,0.000157047516051861
A6NFQ2,A2NJV5,7.69891432035135e-06
A6NFQ2,A2RRP1,0.000188354375254024
A6NFQ2,A3KMH1,9.80995201638305e-05
A6NFQ2,A4D0S4,9.17502431740566e-05
A6NFQ2,A4D1P6,8.05987158446374e-05
A6NFQ2,A5D8V6,0.000158313994620591
A6NFQ2,A5YKK6,0.000408235793984806
A6NFQ2,A6ND36,0.000118311348058973
A6NFQ2,A6NDG6,4.0511632991746e-05
A6NHR9,A0A075B6H7,3.79082282791864e-06
A6NHR9,A0A075B6I0,9.44269415088516e-06
A6NHR9,A0A075B6J1,1.92851859075446e-05
A6NHR9,A0A075B6J9,5.24604696278917e-06
A6NHR9,A0A075B6K4,6.71747856117258e-06
A6NHR9,A0A075B6K5,4.2505169537976e-06
A6NHR9,A0A075B6Q5,4.83313687331721e-05
A6NHR9,A0A075B6S2,5.12555938786352e-06
A6NHR9,A0A087WSX0,3.2408724046876e-06
A6NHR9,A0A087WSY6,3.98219275248476e-06
A6NHR9,A0A087WSZ0,1.10704929425411e-05
A6NHR9,A0A0A0MS15,6.33695217444039e-06
A6NHR9,A0A0A0MT36,3.31278046908823e-06
A6NHR9,A0A0B4J1U7,8.73753078044451e-05
A6NHR9,A0A0B4J1V0,3.48054144276624e-06
A6NHR9,A0A0B4J1V6,4.26842003735727e-05
A6NHR9,A0A0B4J1X5,3.5608451986025e-06
A6NHR9,A0A0B4J1Y9,7.00686034549434e-06
A6NHR9,A0A0C4DH24,7.72905517599777e-05
A6NHR9,A0A0C4DH25,4.8990207874237e-06
A6NHR9,A0A0C4DH29,3.18005531253213e-06
A6NHR9,A0A0C4DH31,1.32532493390028e-05
A6NHR9,A0A0C4DH36,9.77876991384196e-06
A6NHR9,A0A0C4DH38,5.71947957852238e-06
A6NHR9,A0A0J9YX35,2.80030058477621e-05
A6NHR9,A0AVT1,0.000290504810182099
A6NHR9,A0FGR8,0.000126719998657203
A6NHR9,A0MZ66,0.000320854276299034
A6NHR9,A1A4S6,0.000197613918787421
A6NHR9,A1A5D9,9.28733605020931e-05
A6NHR9,A1IGU5,0.000126649471618961
A6NHR9,A1L0T0,3.10450503863412e-05
A6NHR9,A1X283,9.61556063120527e-05
A6NHR9,A2A3N6,7.98771337688516e-05
A6NHR9,A2NJV5,4.57948107072238e-06
A6NHR9,A2RRP1,9.34852228771793e-05
A6NHR9,A3KMH1,3.37775301755468e-05
A6NHR9,A4D0S4,4.53882408026706e-05
A6NHR9,A4D1P6,5.33126625066772e-05
A6NHR9,A5D8V6,0.000181363569276673
A6NHR9,A5YKK6,0.000442519568147401
A6NHR9,A6ND36,5.7717450338282e-05
A6NHR9,A6NDG6,2.48236122602073e-05
A6NHR9,A6NFQ2,6.83367386783029e-05
A6NMZ7,A0A075B6H7,2.16218361401356e-06
A6NMZ7,A0A075B6I0,8.46162275460444e-06
A6NMZ7,A0A075B6J1,1.3110906137125e-05
A6NMZ7,A0A075B6J9,3.8344370810782e-06
A6NMZ7,A0A075B6K4,3.47085482400374e-06
A6NMZ7,A0A075B6K5,2.96441436448633e-06
A6NMZ7,A0A075B6Q5,1.13853601748905e-05
A6NMZ7,A0A075B6S2,9.49379093514059e-06
A6NMZ7,A0A087WSX0,4.53460164614204e-06
A6NMZ7,A0A087WSY6,2.88870269543825e-06
