pro_id	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	P1	P2	P3	P4	relative_P4	relative_PP4
O00148	3234	0.569432562840644	0.180962717899862	0.17583774227084	0.0558624188149235	0.0179045581737307	0.3234	0.3234	0.10455522	0.03234	0.23623907394283	0.242717797375437
O00151	3064	0.605780750767027	0.151496368212837	0.181780464987667	0.0454449768707316	0.0154974391617375	0.3064	0.3064	0.09385032	0.03064	0.24612355402412	0.254296435400276
O00154	3177	0.566318486179999	0.171016744742918	0.187757916438573	0.0566808725883688	0.018225980050142	0.3177	0.3177	0.10090152	0.03177	0.239463601532567	0.243315256323715
O00159	2823	0.587019491464825	0.186933685087379	0.158338453331158	0.0504048562313893	0.0173035138852493	0.2823	0.2823	0.07966506	0.02823	0.261643118785976	0.255559450854322
O00160	3822	0.49540988910185	0.192185878019752	0.204230994887558	0.0791989820985349	0.0289742558923054	0.3822	0.3822	0.14603862	0.03822	0.207425845260319	0.267850500090964
O00161	2430	0.644464197475923	0.133375566058597	0.172243549581304	0.0356325073960932	0.0142841794880824	0.243	0.243	0.0590247	0.0243	0.291630212890055	0.286160408066079
O00170	2083	0.663513850948439	0.146729377253016	0.140490762406915	0.0310498950461099	0.0182161143455205	0.2083	0.2083	0.04336806	0.02083	0.324464633354964	0.369750149656229
O00178	2230	0.665912957657491	0.137759641029576	0.151073085117573	0.0312389791206962	0.0140153370746638	0.223	0.223	0.0497067	0.0223	0.309693403530505	0.309701665011586
O00182	1859	0.701045087295891	0.103949529418408	0.158862016206151	0.023543134093298	0.0126002329862528	0.1859	0.1859	0.03454022	0.01859	0.349895031490553	0.348618128425056
O00186	2296	0.651182957503824	0.135611768456016	0.163037307837606	0.033937018881143	0.0162309473214109	0.2296	0.2296	0.0526932	0.02296	0.303490136570562	0.323532097272555
O00192	3119	0.554589086897921	0.194540925780401	0.171373935846547	0.0600958182625216	0.019400233212609	0.3119	0.3119	0.09725042	0.03119	0.242836328314716	0.244040211464819
O00193	3052	0.602850038014615	0.175753787905531	0.159433685910501	0.0464655056741421	0.0154969824952109	0.3052	0.3052	0.09311652	0.03052	0.246852628980499	0.250102650055874
O00194	2485	0.567699763823978	0.175454609159321	0.174766021875544	0.0539854990226791	0.0280941061184787	0.2485	0.2485	0.0617274	0.02485	0.287026406429392	0.342278767912728
O00203	3917	0.540453553333086	0.183452823315755	0.193346972107726	0.0656130166233694	0.0171336346200648	0.3917	0.3917	0.15338972	0.03917	0.203417412530513	0.207061365778525
O00204	3719	0.52537907756443	0.175374532630936	0.210566615452697	0.0702699273739998	0.0184098469779365	0.3719	0.3719	0.13827242	0.03719	0.211954217888936	0.207599163535022
O00214	4596	0.382271348341427	0.188241990193486	0.265578296098801	0.130745634127954	0.0331627312383314	0.4596	0.4596	0.2111862	0.04596	0.178731009830206	0.202324824387228
O00217	2494	0.533198297060321	0.212044035280896	0.162494039188068	0.0645934885706498	0.0276701399000654	0.2494	0.2494	0.06217542	0.02494	0.286286859433152	0.299903010088618
O00231	2574	0.643177925401513	0.156768226343473	0.149553288879022	0.0364380651604475	0.0140624942155448	0.2574	0.2574	0.06622902	0.02574	0.279876854184159	0.278462147534746
