pro_id,age_group,rho_age,rho_p_age
P25787,age3,-0.065186556,0.665984559
P25787,age4,-0.110314524,0.459183512
P25788,age1,-0.038058378,0.786226382
P25788,age2,-0.275439445,0.04623923
P25788,age3,-0.314708603,0.03361441
P25788,age4,-0.096322849,0.518337621
P25789,age1,0.018061603,0.897726575
P25789,age2,-0.105386228,0.451521301
P25789,age3,-0.318655566,0.031363613
P25789,age4,-0.001618871,0.991657389
P25815,age1,0.535440692,3.61E-05
P25815,age2,0.383567167,0.004838642
P25815,age3,0.183965464,0.220268289
P25815,age4,0.314407956,0.03182051
P26006,age1,0.103773585,0.458506148
P26006,age2,-0.106837607,0.445285595
P26006,age3,-0.078384212,0.603532859
P26006,age4,-0.067876966,0.649361799
P26038,age1,0.152152879,0.275890968
P26038,age2,0.235365264,0.089842311
P26038,age3,-0.004255319,0.977841781
P26038,age4,0.115171138,0.439548736
P26045,age1,0.091759394,0.512363286
P26045,age2,0.151104661,0.279242613
P26045,age3,0.148689485,0.322925929
P26045,age4,0.020351526,0.891868965
P26196,age1,0.206337687,0.138003167
P26196,age2,-0.098935656,0.479811888
P26196,age3,0.265001542,0.075306199
P26196,age4,0.15113321,0.309499991
P26358,age1,0.401709402,0.003074824
P26358,age2,0.170375746,0.221896226
P26358,age3,0.014862781,0.921906639
P26358,age4,-0.125346901,0.3999719
P26368,age1,0.081035317,0.563022839
P26368,age2,-0.219077568,0.114902828
P26368,age3,0.022016651,0.884377933
P26368,age4,0.110545791,0.458237796
P26373,age1,0.261167554,0.059159322
P26373,age2,0.179648444,0.197467197
P26373,age3,0.1933395,0.197336988
P26373,age4,0.199814986,0.177606231
P26447,age1,0.251007902,0.070031057
P26447,age2,0.276568295,0.045325141
P26447,age3,0.189885908,0.205578603
P26447,age4,0.083603145,0.575258293
P26572,age1,0.205853895,0.138944692
P26572,age2,0.07216578,0.606628534
P26572,age3,0.138082023,0.358939522
P26572,age4,-0.068570768,0.646012841
P26583,age1,-0.080067731,0.567707175
P26583,age2,0.018384132,0.89590628
P26583,age3,-0.25488745,0.087468186
P26583,age4,-0.003584644,0.981153254
P26599,age1,0.103531688,0.45955896
P26599,age2,0.134816965,0.334793235
P26599,age3,-0.049522047,0.743117991
P26599,age4,0.37060592,0.010740564
P26639,age1,0.020399935,0.884541943
P26639,age2,0.106031285,0.448743932
P26639,age3,-0.16373728,0.275926978
P26639,age4,0.224907493,0.128344585
P26640,age1,0.019029189,0.892267307
P26640,age2,0.268182551,0.05248403
P26640,age3,0.241196423,0.1063278
P26640,age4,0.332215541,0.022984819
P26641,age1,0.0411224,0.769456773
P26641,age2,0.283744557,0.039855967
P26641,age3,0.217391304,0.146395232
P26641,age4,0.217622572,0.141435072
P27105,age1,0.245847444,0.076136957
P27105,age2,0.191985164,0.168035313
P27105,age3,0.319888992,0.030686584
P27105,age4,0.104185939,0.484629601
P27144,age1,0.315432995,0.02180807
P27144,age2,-0.234962103,0.090405837
P27144,age3,0.015479494,0.918663537
P27144,age4,0.34666975,0.017429459
P27338,age1,0.395178197,0.003629777
P27338,age2,0.423076923,0.001747922
P27338,age3,0.316312057,0.032684326
P27338,age4,0.313367253,0.032414344
P27348,age1,-0.070069344,0.617146967
P27348,age2,-0.296403806,0.031542992
P27348,age3,-0.138698736,0.356780769
P27348,age4,-0.036540241,0.806902915
P27361,age1,0.234558942,0.090972137
P27361,age2,-0.096758587,0.489568905
P27361,age3,0.147456059,0.326991343
P27361,age4,-0.008325624,0.955836291
P27449,age1,0.06692469,0.63306914
P27449,age2,-0.075068537,0.592195527
P27449,age3,0.069750231,0.644104386
P27449,age4,0.028677151,0.847958142
P27482,age1,0.369134011,0.006827174
P27482,age2,0.303096275,0.027770383
P27482,age3,0.497625655,0.000511637
P27482,age4,0.402289547,0.005368972
P27487,age1,0.317206902,0.021047537
P27487,age2,0.237784228,0.086518967
P27487,age3,0.200123343,0.181839431
P27487,age4,0.053075856,0.722360357
P27635,age1,0.16231253,0.244796739
P27635,age2,0.208111595,0.134591999
P27635,age3,0.134011718,0.373387091
P27635,age4,0.076086957,0.610191586
P27694,age1,-0.178035801,0.201571289
P27694,age2,-0.312691501,0.02302932
P27694,age3,-0.077520814,0.60753935
P27694,age4,-0.283418131,0.053888219
P27695,age1,0.029269473,0.834844363
P27695,age2,-0.275358813,0.046305098
P27695,age3,0.061362936,0.684533329
P27695,age4,-0.095166512,0.52339241
P27701,age1,-0.079583938,0.570056164
P27701,age2,-0.101999677,0.466257414
P27701,age3,0.136478569,0.364589612
P27701,age4,0.088459759,0.553188184
P27707,age1,0.112078697,0.423171919
P27707,age2,0.122157716,0.382460345
P27707,age3,0.087018193,0.564122239
P27707,age4,0.087187789,0.558929154
P27708,age1,-0.107240768,0.443562013
P27708,age2,-0.084099339,0.548310632
P27708,age3,-0.127721246,0.396393229
P27708,age4,-0.183973173,0.215052922
P27797,age1,0.39453314,0.003689136
P27797,age2,0.182148041,0.19122457
P27797,age3,0.262904718,0.077710294
P27797,age4,0.162812211,0.273253572
P27816,age1,-0.008547009,0.951622275
P27816,age2,0.330995001,0.015869207
P27816,age3,0.115263645,0.444340543
P27816,age4,0.109505088,0.462501898
P27824,age1,0.11554588,0.408895208
P27824,age2,0.298822771,0.030132658
P27824,age3,0.131051496,0.384111421
P27824,age4,0.202937095,0.170822171
P27986,age1,0.40203193,0.003049488
P27986,age2,-0.046605386,0.739714248
P27986,age3,0.13795868,0.359372231
P27986,age4,0.28179926,0.055318436
P28062,age1,-0.110062893,0.431601807
P28062,age2,-0.003870343,0.978208141
P28062,age3,0.00240518,0.987616399
P28062,age4,0.135407031,0.362978208
P28065,age1,0.223431705,0.107730103
P28065,age2,0.097403645,0.486667096
P28065,age3,0.34270737,0.020200099
P28065,age4,0.252428307,0.08704241
P28066,age1,0.061844864,0.659141768
P28066,age2,-0.013384938,0.924175313
P28066,age3,0.106506321,0.479888603
P28066,age4,-0.04220629,0.777630678
P28067,age1,0.393243025,0.003810441
P28067,age2,0.349943557,0.010559605
P28067,age3,0.476904101,0.000921736
P28067,age4,0.297294172,0.042822032
P28068,age1,0.16005483,0.251489477
P28068,age2,0.102564103,0.463783416
P28068,age3,0.47875424,0.000875756
P28068,age4,0.19206753,0.195280753
P28070,age1,-0.014916949,0.915500622
P28070,age2,-0.041041767,0.769896767
P28070,age3,0.066296639,0.66063591
P28070,age4,-0.194611471,0.189343844
P28072,age1,0.090469279,0.518332293
P28072,age2,0.07144009,0.610260664
P28072,age3,0.026456984,0.861205505
P28072,age4,0.102682701,0.490982886
P28074,age1,0.020803096,0.882271786
P28074,age2,-0.011852927,0.932858832
P28074,age3,-0.042121492,0.780509223
P28074,age4,0.11713691,0.431737001
P28161,age1,0.160538623,0.25004492
P28161,age2,0.050878891,0.716791245
P28161,age3,0.102436016,0.496910876
P28161,age4,0.029486586,0.843711278
P28288,age1,0.183760684,0.18727316
P28288,age2,0.242057733,0.080885526
P28288,age3,0.365895776,0.012829833
P28288,age4,0.370721554,0.010714606
P28290,age1,0.09200129,0.511248013
P28290,age2,-0.05386228,0.700933639
P28290,age3,0.003145236,0.983706254
P28290,age4,0.128237743,0.389121916
P28300,age1,0.055394291,0.692839294
P28300,age2,0.216577971,0.119183254
P28300,age3,0.028430466,0.850942716
P28300,age4,0.171369103,0.24856862
P28331,age1,0.499516207,0.000171035
P28331,age2,-0.009756491,0.944754017
P28331,age3,0.073203824,0.62774267
P28331,age4,0.211493987,0.153201369
P28347,age1,0.113288179,0.418159567
P28347,age2,0.021609418,0.877734326
P28347,age3,-0.339253777,0.021558189
P28347,age4,0.127543941,0.391709854
P28482,age1,0.038380906,0.784456439
P28482,age2,0.057248831,0.683086643
P28482,age3,0.274128893,0.065521694
P28482,age4,0.202474561,0.171815102
P28676,age1,0.226818255,0.102394836
P28676,age2,0.273020481,0.048249098
P28676,age3,0.512920136,0.000323906
P28676,age4,0.218316374,0.140146907
P28702,age1,-0.197629415,0.155699205
P28702,age2,0.074826641,0.593392374
P28702,age3,-0.161763799,0.281817164
P28702,age4,0.12939408,0.384831297
P28799,age1,0.241332043,0.081821074
P28799,age2,0.065392679,0.640887346
P28799,age3,-0.089361702,0.55363744
P28799,age4,0.190217391,0.199681255
P28827,age1,-0.034107402,0.807993309
P28827,age2,0.089179165,0.524336251
P28827,age3,-0.235275979,0.115395865
P28827,age4,0.124190564,0.404361056
P28838,age1,0.226737623,0.102519432
P28838,age2,0.159893566,0.251972258
P28838,age3,0.335183472,0.023257279
P28838,age4,0.475948196,0.000826975
P28845,age1,0.575955491,9.54E-06
P28845,age2,0.432752782,0.00133805
P28845,age3,0.45679926,0.001580595
P28845,age4,0.516651249,0.000246054
P28906,age1,0.061280439,0.662064634
P28906,age2,0.251572327,0.069387757
P28906,age3,0.224668517,0.133107879
P28906,age4,0.167437558,0.259714737
P29144,age1,0.09498468,0.497595612
P29144,age2,0.014191259,0.919608522
P29144,age3,0.04964539,0.742499513
P29144,age4,0.00219704,0.988567712
P29218,age1,0.216013546,0.120166492
P29218,age2,-0.073697791,0.598991924
P29218,age3,-0.048041936,0.75055223
P29218,age4,0.044750231,0.764584867
P29279,age1,0.053217223,0.704351805
P29279,age2,-0.00524109,0.970411986
P29279,age3,0.192476102,0.199374955
P29279,age4,0.075046253,0.615099993
P29317,age1,-0.14658926,0.293988921
P29317,age2,-0.007498791,0.957577628
P29317,age3,0.065803269,0.663011022
P29317,age4,0.064292322,0.666773782
P29350,age1,-0.063618771,0.649988878
P29350,age2,0.084583132,0.546004745
P29350,age3,0.109343201,0.468210465
P29350,age4,0.407839963,0.00472417
P29353,age1,0.210046767,0.130943804
P29353,age2,-0.127076278,0.36347685
P29353,age3,-0.076410731,0.612707468
P29353,age4,-0.068802035,0.64489807
P29372,age1,-0.020964361,0.881363987
P29372,age2,-0.106434446,0.447012903
P29372,age3,-0.071847055,0.634149809
P29372,age4,0.155874191,0.29442931
P29373,age1,0.449363006,0.000831205
P29373,age2,0.426060313,0.001610934
P29373,age3,0.280049337,0.059739987
P29373,age4,0.266419981,0.070498563
P29375,age1,-0.019593614,0.889085022
P29375,age2,0.070795033,0.613497125
P29375,age3,0.12698119,0.399153548
P29375,age4,-0.070652174,0.636008078
P29400,age1,0.18585712,0.182224893
P29400,age2,-0.114981455,0.411200026
P29400,age3,-0.011409189,0.940089923
P29400,age4,0.093547641,0.530510303
P29401,age1,0.316965006,0.021149898
P29401,age2,0.480970811,0.000315078
P29401,age3,0.264508171,0.075866482
P29401,age4,0.01480111,0.921331984
P29466,age1,0.09425899,0.500898899
P29466,age2,0.110143525,0.431262795
P29466,age3,0.37946346,0.009698922
P29466,age4,0.384481961,0.007988036
P29508,age1,0.625786164,1.04E-06
P29508,age2,0.604672728,1.63E-06
P29508,age3,0.729016343,6.59E-08
P29508,age4,0.4316605,0.002665798
P29536,age1,0.421141751,0.001842272
P29536,age2,0.303257539,0.027684386
P29536,age3,0.31791551,0.031775781
P29536,age4,0.372456059,0.010331704
P29558,age1,0.090469279,0.518332293
P29558,age2,-0.104015481,0.45745466
P29558,age3,-0.108726488,0.470736068
P29558,age4,0.268154487,0.068635817
P29590,age1,0.133526851,0.339472059
P29590,age2,0.099016288,0.47945252
P29590,age3,0.283256244,0.056784566
P29590,age4,-0.01919519,0.897996442
P29597,age1,-0.074181584,0.596589248
P29597,age2,-0.047572972,0.734503462
P29597,age3,0.024483503,0.871491185
P29597,age4,0.050416281,0.735766179
P29692,age1,0.20343493,0.143724971
P29692,age2,-0.052975327,0.705635129
P29692,age3,0.007215541,0.962209729
P29692,age4,0.184898242,0.212724675
P29728,age1,0.335349137,0.014480096
P29728,age2,0.215691018,0.120731122
P29728,age3,0.186062288,0.214984094
P29728,age4,-0.051225717,0.73167762
P29972,age1,0.249395259,0.071895441
P29972,age2,0.149492017,0.284451642
P29972,age3,0.08590811,0.569121025
P29972,age4,-0.019773358,0.894931939
P29992,age1,-0.26963393,0.051182826
P29992,age2,-0.004354136,0.975456287
P29992,age3,-0.007832254,0.958954638
P29992,age4,-0.063945421,0.668468326
P30038,age1,0.251169166,0.069846771
P30038,age2,0.20456378,0.141479058
P30038,age3,0.181745298,0.225961515
P30038,age4,0.01699815,0.909654712
P30040,age1,0.128527657,0.357987264
P30040,age2,-0.252781809,0.068025222
P30040,age3,-0.161023743,0.284047246
P30040,age4,0.128122109,0.389552534
P30041,age1,0.40727302,0.002663011
P30041,age2,-0.212385099,0.126636158
P30041,age3,0.344557508,0.019502902
P30041,age4,0.167900093,0.258386205
P30043,age1,-0.004757297,0.973163292
P30043,age2,-0.174487986,0.210813484
P30043,age3,-0.113783534,0.450243733
P30043,age4,-0.067992599,0.648803157
P30044,age1,-0.190695049,0.170953036
P30044,age2,0.311562651,0.023548787
P30044,age3,0.068516805,0.649989359
P30044,age4,-0.147779833,0.320454399
P30046,age1,0.076197388,0.586624623
P30046,age2,-0.008063216,0.954370591
P30046,age3,0.075547333,0.616740151
P30046,age4,0.00566605,0.970034739
P30048,age1,0.117319787,0.401700616
P30048,age2,0.276407031,0.045454807
P30048,age3,0.247116867,0.097819883
P30048,age4,0.04660037,0.755137526
P30049,age1,0.016207063,0.908203203
P30049,age2,-0.105386228,0.451521301
P30049,age3,-0.114030219,0.449256873
P30049,age4,-0.164199815,0.269143457
P30050,age1,0.042493146,0.761988083
P30050,age2,-0.178116433,0.201364651
P30050,age3,-0.02719704,0.857354188
P30050,age4,-0.073080481,0.624417275
P30084,age1,0.238268021,0.08586609
P30084,age2,-0.06692469,0.63306914
P30084,age3,-0.122910885,0.414535588
P30084,age4,0.037234043,0.803303476
P30085,age1,0.028705048,0.837989917
P30085,age2,-0.309143687,0.024695438
P30085,age3,-0.060992908,0.68633847
P30085,age4,-0.265494912,0.071508417
P30086,age1,-0.065312046,0.641299922
P30086,age2,0.292049669,0.034220964
P30086,age3,-0.006722171,0.964814246
P30086,age4,0.069148936,0.643227373
P30101,age1,0.08377681,0.549850498
P30101,age2,0.29769392,0.030784085
P30101,age3,0.225408572,0.131809306
P30101,age4,-0.04220629,0.777630678
P30153,age1,0.338251895,0.013613313
P30153,age2,0.172552814,0.215979123
P30153,age3,0.225161887,0.132241097
P30153,age4,0.09192877,0.537675785
P30154,age1,0.17537494,0.208475332
P30154,age2,-0.296726334,0.031351812
P30154,age3,-0.143385754,0.340635747
P30154,age4,0.18640148,0.208979211
P30260,age1,0.019674246,0.888630551
P30260,age2,-0.201499758,0.147637122
P30260,age3,-0.172371261,0.251123963
P30260,age4,-0.130897317,0.379295849
P30273,age1,0.158119658,0.25732456
P30273,age2,0.202386712,0.145834292
P30273,age3,0.352204749,0.016833891
P30273,age4,0.293246994,0.045836908
P30405,age1,0.345831318,0.011557913
P30405,age2,0.210288663,0.130493102
P30405,age3,-0.051372186,0.73385799
P30405,age4,0.254162812,0.08483951
P30419,age1,0.31825512,0.020608828
P30419,age2,0.310514433,0.024040006
P30419,age3,0.142522356,0.343575039
P30419,age4,0.028677151,0.847958142
P30511,age1,-0.208272859,0.134285081
P30511,age2,0.346637639,0.011355963
P30511,age3,0.011409189,0.940089923
P30511,age4,0.209875116,0.156427236
P30519,age1,0.237058539,0.087505621
P30519,age2,0.343815514,0.012076447
P30519,age3,0.121430774,0.420212599
P30519,age4,0.161077706,0.278449752
P30520,age1,0.356877923,0.00904521
P30520,age2,0.179648444,0.197467197
P30520,age3,0.274252236,0.065396822
P30520,age4,-0.002081406,0.989185635
P30533,age1,0.128769553,0.357077318
P30533,age2,-0.06732785,0.631018317
P30533,age3,0.082454517,0.584803166
P30533,age4,0.217275671,0.14208247
P30566,age1,-0.045476536,0.745808284
P30566,age2,-0.026850508,0.848342894
P30566,age3,0.178415048,0.234691817
P30566,age4,-0.37939408,0.008916085
P30622,age1,0.066440897,0.635533773
P30622,age2,0.007982583,0.954828696
P30622,age3,0.077644157,0.606966287
P30622,age4,-0.224676226,0.128745531
P30626,age1,0.191743267,0.168579583
P30626,age2,0.15481374,0.267503855
P30626,age3,0.246870182,0.098163467
P30626,age4,0.018154487,0.903516258
P30679,age1,0.052330269,0.709061323
P30679,age2,0.123205935,0.378365653
P30679,age3,0.02719704,0.857354188
P30679,age4,0.186864015,0.207836186
P30740,age1,0.534268666,4.97E-05
P30740,age2,0.541767457,3.75E-05
P30740,age3,0.314461918,0.033759435
P30740,age4,0.300647549,0.040449397
P30838,age1,0.320351556,0.019754729
P30838,age2,0.136752137,0.327851581
P30838,age3,0.344927536,0.019365944
P30838,age4,0.465772433,0.00109629
P30876,age1,0.303499436,0.027555809
P30876,age2,0.171504596,0.218814083
P30876,age3,0.125131051,0.406103465
P30876,age4,0.197964847,0.181717532
P31040,age1,0.127721335,0.361030707
P31040,age2,0.152314143,0.275377721
P31040,age3,-0.020289855,0.893416632
P31040,age4,0,1
P31150,age1,0.133284954,0.340353881
P31150,age2,0.203031769,0.144533525
P31150,age3,-0.017946346,0.905704831
P31150,age4,0.106382979,0.475422735
P31151,age1,0.362522174,0.007955911
P31151,age2,0.392759232,0.003856833
P31151,age3,0.403515264,0.005749463
P31151,age4,0.424606846,0.003170597
P31153,age1,0.201257862,0.14813168
P31153,age2,0.122399613,0.381513066
P31153,age3,0.064323158,0.670156112
P31153,age4,0.087187789,0.558929154
P31323,age1,0.20641832,0.137846714
P31323,age2,0.143767134,0.303459993
P31323,age3,0.193216158,0.197627213
P31323,age4,0.310707678,0.033974027
P31431,age1,-0.070633769,0.614307396
P31431,age2,0.125947428,0.367781925
P31431,age3,0.085044712,0.573023163
P31431,age4,-0.13506013,0.364217983
P31483,age1,-0.031930334,0.820050895
P31483,age2,-0.103047896,0.461668549
P31483,age3,-0.11501696,0.445321408
P31483,age4,-0.05226642,0.726431813
P31689,age1,0.15820029,0.257079613
P31689,age2,0.290598291,0.035154746
P31689,age3,0.003515264,0.981751319
P31689,age4,-0.235314524,0.111263205
P31930,age1,0.067247218,0.63142826
P31930,age2,-0.119335591,0.393615789
P31930,age3,-0.310884983,0.035921461
P31930,age4,-0.054810361,0.713661709
P31937,age1,0.113449444,0.417493846
P31937,age2,0.368650218,0.006904722
P31937,age3,-0.183595436,0.221210133
P31937,age4,0.167321924,0.260047589
P31939,age1,0.427995485,0.001527307
P31939,age2,0.107160135,0.443906431
P31939,age3,0.386987357,0.008266482
P31939,age4,0.392460685,0.006701845
P31942,age1,0.317206902,0.021047537
P31942,age2,0.316078052,0.021528854
P31942,age3,0.233179155,0.118745657
P31942,age4,0.245027752,0.09695077
P31943,age1,0.008950169,0.949332441
P31943,age2,0.049911305,0.721960392
P31943,age3,-0.003885291,0.979796491
P31943,age4,0.165240518,0.266088153
P31944,age1,0.516690856,9.43E-05
P31944,age2,0.386873085,0.004462702
P31944,age3,0.4062288,0.005407969
P31944,age4,0.164431082,0.268462481
P31946,age1,0.007982583,0.954828696
P31946,age2,0.005482987,0.969036461
P31946,age3,-0.146839346,0.329036138
P31946,age4,0.108117484,0.468220779
P31947,age1,0.189082406,0.174652127
P31947,age2,-0.062570553,0.65539127
P31947,age3,0.017329633,0.908942348
P31947,age4,0.01919519,0.897996442
P31948,age1,0.193194646,0.165333296
P31948,age2,0.050717626,0.717651896
P31948,age3,0.17755165,0.236992704
P31948,age4,0.064523589,0.665645005
P31949,age1,0.051201419,0.715070999
P31949,age2,0.142638284,0.307303312
P31949,age3,0.184828862,0.21808156
P31949,age4,-0.190333025,0.199404173
P32019,age1,-0.052249637,0.709490004
P32019,age2,-0.001048218,0.994264651
P32019,age3,0.026580327,0.860563393
P32019,age4,-0.17946346,0.226659336
P32119,age1,-0.056119981,0.689017001
P32119,age2,0.068940493,0.622842901
P32119,age3,0.006722171,0.964814246
P32119,age4,0.085915819,0.564698182
P32121,age1,0.099016288,0.47945252
P32121,age2,-0.034752459,0.804429105
P32121,age3,0.376256553,0.010371984
P32121,age4,0.17853839,0.229092958
P32189,age1,0.291969037,0.034272292
P32189,age2,0.139574262,0.3178933
P32189,age3,0.33987049,0.021310155
P32189,age4,0.187210916,0.206981822
P32320,age1,0.00524109,0.970411986
P32320,age2,0.130301564,0.351347459
P32320,age3,0.148689485,0.322925929
P32320,age4,-0.010175763,0.9459669
P32321,age1,0.114981455,0.411200026
P32321,age2,-0.073052733,0.602202146
P32321,age3,0.210360777,0.160147288
P32321,age4,-0.096207216,0.51884199
P32455,age1,0.274068699,0.047369524
P32455,age2,0.253265602,0.067486264
P32455,age3,-0.058772741,0.697205648
P32455,age4,0.124190564,0.404361056
P32456,age1,0.335107241,0.014554426
P32456,age2,0.106031285,0.448743932
P32456,age3,0.233795868,0.117752811
P32456,age4,0.305041628,0.037505707
P32519,age1,-0.103047896,0.461668549
P32519,age2,0.176826318,0.204689007
P32519,age3,0.144742522,0.336048674
P32519,age4,0.048681776,0.744551859
P32926,age1,0.353652637,0.00972426
P32926,age2,0.351072408,0.010299013
P32926,age3,0.220104841,0.141329693
P32926,age4,0.219935245,0.137175413
P32969,age1,-0.312207708,0.023250746
P32969,age2,0.076439284,0.585433955
P32969,age3,-0.114400247,0.447778826
P32969,age4,-0.202590194,0.171566475
P33121,age1,0.568779229,1.28E-05
P33121,age2,0.589179165,5.43E-06
P33121,age3,0.588405797,2.47E-05
P33121,age4,0.533880666,0.000140968
P33151,age1,0.11780358,0.399751425
P33151,age2,0.101435252,0.46873856
P33151,age3,0.100339192,0.505800685
P33151,age4,0.050647549,0.734597268
P33176,age1,0.098209966,0.483052655
P33176,age2,-0.083212385,0.552550268
P33176,age3,0.08307123,0.581988471
P33176,age4,0.106498612,0.474940769
P33240,age1,-0.001612643,0.991052964
P33240,age2,-0.068214804,0.626516291
P33240,age3,-0.209990749,0.160896555
P33240,age4,-0.037118409,0.803903103
P33241,age1,0.027495565,0.844738862
P33241,age2,0.113610708,0.416828737
P33241,age3,-0.026827012,0.859279439
P33241,age4,-0.199583719,0.17811642
P33316,age1,0.173923561,0.212311019
P33316,age2,-0.023060797,0.869576886
P33316,age3,0.208263953,0.164427254
P33316,age4,-0.129740981,0.383549631
P33527,age1,-0.113771972,0.416164239
P33527,age2,0.098532495,0.481610881
P33527,age3,-0.109343201,0.468210465
P33527,age4,-0.015610546,0.917027775
P33908,age1,0.064989518,0.642951307
P33908,age2,0.197548782,0.155870569
P33908,age3,0.03102066,0.837510317
P33908,age4,-0.096322849,0.518337621
P33991,age1,0.381954523,0.005031969
P33991,age2,0.19335591,0.164975456
P33991,age3,-0.055442492,0.713619938
P33991,age4,0.427497687,0.002954295
P33992,age1,0.117319787,0.401700616
P33992,age2,-0.114094501,0.414837078
P33992,age3,-0.059882825,0.691764326
P33992,age4,0.176110083,0.235567261
P33993,age1,0.286889211,0.037637992
P33993,age2,0.101515885,0.468383674
P33993,age3,0.002898551,0.985009598
P33993,age4,0.055966698,0.707882629
P34059,age1,0.370424125,0.006624103
P34059,age2,-0.021125625,0.88045634
P34059,age3,0.02769041,0.854788474
P34059,age4,-0.001156337,0.994129221
P34896,age1,0.146911788,0.292918992
P34896,age2,0.018464764,0.89545129
P34896,age3,-0.073203824,0.62774267
P34896,age4,-0.149976873,0.313249801
P34897,age1,0.205370102,0.139891044
P34897,age2,0.05386228,0.700933639
P34897,age3,-0.00141844,0.99283036
P34897,age4,0.435360777,0.002430646
P34910,age1,0.34405741,0.012013179
P34910,age2,0.101193356,0.469804091
P34910,age3,0.385137219,0.008600489
P34910,age4,0.280064755,0.056884839
P34913,age1,0.13538139,0.332759088
P34913,age2,0.088130947,0.529239993
P34913,age3,-0.014122726,0.925800028
P34913,age4,0.284227567,0.053184465
P34932,age1,-0.009192066,0.947958735
P34932,age2,-0.072488308,0.605017293
P34932,age3,0.120937404,0.422114778
P34932,age4,0.001965772,0.989803565
P34949,age1,-0.024109015,0.863693781
P34949,age2,0.000564425,0.9970176
P34949,age3,-0.070613629,0.639997776
P34949,age4,-0.203283996,0.170080227
P35030,age1,-0.068698597,0.624066351
P35030,age2,0.30067731,0.029087586
P35030,age3,-0.146716004,0.329446064
P35030,age4,-0.157608696,0.289037555
P35052,age1,0.037977746,0.786669037
P35052,age2,0.12828576,0.358898635
P35052,age3,-0.058032686,0.700841667
P35052,age4,0.208140611,0.159938932
P35080,age1,0.467585873,0.000480208
P35080,age2,0.467908402,0.000475445
P35080,age3,0.106382979,0.480399834
P35080,age4,0.301688252,0.039735519
P35221,age1,-0.144250927,0.301822459
P35221,age2,0.177874536,0.201985017
P35221,age3,0.087758249,0.560801204
P35221,age4,-0.175647549,0.236814627
P35222,age1,-0.104741171,0.454308152
P35222,age2,0.094420255,0.500163855
P35222,age3,-0.181128585,0.227560959
P35222,age4,-0.02393617,0.872915315
P35232,age1,0.038461538,0.784014123
P35232,age2,0.116190937,0.406270359
P35232,age3,-0.312611779,0.034863803
P35232,age4,-0.008556892,0.954602225
P35237,age1,0.345266892,0.011701121
P35237,age2,0.329704886,0.016302156
P35237,age3,0.169287697,0.25980202
P35237,age4,0.145351526,0.328539193
P35240,age1,0.104821803,0.453959278
P35240,age2,0.053701016,0.701787628
P35240,age3,0.102806044,0.495350553
P35240,age4,-0.137835338,0.354372062
P35241,age1,0.005644251,0.968119493
P35241,age2,-0.155458797,0.265496703
P35241,age3,0.047918594,0.75117278
P35241,age4,-0.062210916,0.676965629
P35249,age1,0.157232704,0.260029425
P35249,age2,0.052814062,0.706491134
P35249,age3,0.052112242,0.730164443
P35249,age4,-0.001965772,0.989803565
P35250,age1,0.292049669,0.034220964
P35250,age2,0.229559748,0.098228202
P35250,age3,0.015602837,0.918015073
P35250,age4,0.248265495,0.092512904
P35268,age1,0.04523464,0.747116189
P35268,age2,0.14473472,0.300190686
P35268,age3,-0.101449275,0.501084181
P35268,age4,0.012372803,0.934257612
P35442,age1,0.777052088,0
P35442,age2,0.384937913,0.0046795
P35442,age3,0.441381437,0.002342781
P35442,age4,0.493293247,0.000501818
P35555,age1,0.454926625,0.000705109
P35555,age2,0.410498307,0.002447473
P35555,age3,0.322972556,0.029047246
P35555,age4,0.164315449,0.268802825
P35573,age1,0.106353814,0.447358812
P35573,age2,0.108127721,0.439783283
P35573,age3,-0.068516805,0.649989359
P35573,age4,0.050185014,0.736935686
P35579,age1,0.470811159,0.000434472
P35579,age2,0.143363974,0.304829006
P35579,age3,0.142152328,0.344839552
P35579,age4,0.218085106,0.140575314
P35580,age1,0.723028544,3.25E-10
P35580,age2,0.527011772,6.50E-05
P35580,age3,0.410052421,0.004956999
P35580,age4,0.321808511,0.027854193
P35606,age1,0.201096597,0.148462072
P35606,age2,0.12304467,0.378993882
P35606,age3,0.051002158,0.735707023
P35606,age4,0.201780759,0.173312379
P35611,age1,-0.054265441,0.698800282
P35611,age2,0.090549911,0.517958203
P35611,age3,-0.024483503,0.871491185
P35611,age4,0.07620259,0.609647255
P35613,age1,0.239800032,0.08382428
P35613,age2,0.008385744,0.95253832
P35613,age3,-0.247980265,0.0966247
P35613,age4,0.095860315,0.52035658
P35625,age1,0.165376552,0.235910752
P35625,age2,-0.205450734,0.139732983
P35625,age3,0.052235584,0.729549442
P35625,age4,0.261910268,0.075531111
P35637,age1,-0.155700693,0.264746642
P35637,age2,-0.152394775,0.275121337
P35637,age3,-0.22960222,0.124630633
P35637,age4,0.054810361,0.713661709
P35658,age1,-0.046444122,0.740583856
P35658,age2,0.111514272,0.425522736
P35658,age3,0.228122109,0.127129573
P35658,age4,0.138760407,0.35112686
P35659,age1,0.077648766,0.579497149
P35659,age2,-0.195049186,0.161252487
P35659,age3,-0.087141536,0.563568093
P35659,age4,0.096207216,0.51884199
P35749,age1,0.557732624,2.01E-05
P35749,age2,0.519593614,8.50E-05
P35749,age3,0.440518039,0.002393798
P35749,age4,0.460106383,0.001278202
P35754,age1,0.221819061,0.110345141
P35754,age2,0.174568618,0.210600162
