pro_id,age_group,rho_age,rho_p_age
L0R6Q1,age2,-0.040316078,0.77385996
L0R6Q1,age3,-0.212580944,0.15570556
L0R6Q1,age4,-0.060823312,0.68379252
O00115,age1,-0.197145622,0.156729489
O00115,age2,-0.107805193,0.441155272
O00115,age3,-0.004131977,0.978493337
O00115,age4,0.072386679,0.627719859
O00116,age1,0.340025802,0.013105947
O00116,age2,0.221738429,0.110477168
O00116,age3,0.142522356,0.343575039
O00116,age4,0.053075856,0.722360357
O00139,age1,0.029027576,0.836192144
O00139,age2,0.093533301,0.504213515
O00139,age3,-0.03435091,0.820308196
O00139,age4,0.200624422,0.175828921
O00142,age1,0.184244477,0.186099312
O00142,age2,-0.199242058,0.152301206
O00142,age3,0.078630897,0.602390277
O00142,age4,0.06140148,0.68094488
O00148,age1,0.102402838,0.464489542
O00148,age2,0.115223351,0.410211325
O00148,age3,0.033734197,0.82348768
O00148,age4,0.165471785,0.26541237
O00151,age1,0.206740848,0.13722224
O00151,age2,0.101273988,0.469448769
O00151,age3,0.223681776,0.134854279
O00151,age4,0.309320074,0.034812256
O00154,age1,0.134413804,0.336250982
O00154,age2,0.437026286,0.001186311
O00154,age3,0.163860623,0.275561578
O00154,age4,0.391419981,0.006858619
O00159,age1,0.09425899,0.500898899
O00159,age2,-0.003950976,0.977749481
O00159,age3,0.087511563,0.56190719
O00159,age4,0.077012026,0.60584285
O00161,age1,-0.061119174,0.662900666
O00161,age2,0.170214482,0.222339001
O00161,age3,0.076164046,0.613858505
O00161,age4,-0.025670675,0.863768996
O00165,age1,-0.010804709,0.938804755
O00165,age2,0.087808418,0.530753413
O00165,age3,-0.005118717,0.973281315
O00165,age4,-0.013297872,0.929331388
O00170,age1,0.231817449,0.09489724
O00170,age2,0.159490405,0.253181974
O00170,age3,0.261671292,0.079152641
O00170,age4,0.239130435,0.105458198
O00178,age1,-0.077487502,0.580287125
O00178,age2,-0.065392679,0.640887346
O00178,age3,0.051495529,0.733241979
O00178,age4,-0.177960222,0.230623144
O00182,age1,0.266731172,0.053812128
O00182,age2,0.20682148,0.137066456
O00182,age3,0.102065988,0.498473747
O00182,age4,0.302035153,0.039499886
O00186,age1,0.34631511,0.011436373
O00186,age2,-0.290437026,0.035259799
O00186,age3,0.120444033,0.424021865
O00186,age4,0.263182239,0.074083603
O00193,age1,-0.064828254,0.643777647
O00193,age2,0.087727786,0.531132103
O00193,age3,-0.330743139,0.025238425
O00193,age4,0.021392229,0.886359602
O00194,age1,0.281164328,0.041755779
O00194,age2,0.097403645,0.486667096
O00194,age3,0.35368486,0.016355052
O00194,age4,0.100832562,0.498861797
O00203,age1,0.006531205,0.963076941
O00203,age2,-0.119416223,0.393294413
O00203,age3,-0.156460068,0.298056031
O00203,age4,-0.032146161,0.829789089
O00204,age1,0.438961458,0.001122843
O00204,age2,0.51644896,9.51E-05
O00204,age3,0.489485045,0.00064741
O00204,age4,0.281105458,0.055940744
O00214,age1,0.113288179,0.418159567
O00214,age2,0.153201097,0.272566258
O00214,age3,-0.248103608,0.096454892
O00214,age4,0.195652174,0.186952861
O00217,age1,0.113610708,0.416828737
O00217,age2,-0.096032898,0.492844296
O00217,age3,-0.110576627,0.463181269
O00217,age4,0.027983349,0.851601744
O00231,age1,0.176181261,0.206365738
O00231,age2,0.048298662,0.730603188
O00231,age3,-0.040024669,0.79119813
O00231,age4,-0.028098982,0.850994261
O00232,age1,-0.067005322,0.632658754
O00232,age2,-0.0456378,0.744936744
O00232,age3,0.128461301,0.39364417
O00232,age4,-0.043825162,0.769321476
O00233,age1,-0.283744557,0.039855967
O00233,age2,-0.031607805,0.82184082
O00233,age3,-0.036694419,0.8082528
O00233,age4,0.019542091,0.896157559
O00244,age1,0.190130624,0.172241136
O00244,age2,-0.028946944,0.836641509
O00244,age3,0.053098982,0.725249199
O00244,age4,-0.111933395,0.452585925
O00255,age1,0.094097726,0.501634503
O00255,age2,0.050798258,0.717221527
O00255,age3,0.03533765,0.815227024
O00255,age4,0.06487049,0.663953225
O00264,age1,0.254555717,0.066065811
O00264,age2,0.44726657,0.000883777
O00264,age3,-0.087881591,0.560248596
O00264,age4,0.214037928,0.148232154
O00267,age1,0.054265441,0.698800282
O00267,age2,-0.009998387,0.943380831
O00267,age3,0.061856306,0.682129207
O00267,age4,-0.153214616,0.302823496
O00268,age1,0.130624093,0.350148472
O00268,age2,-0.160861151,0.249085035
O00268,age3,0.218378045,0.144537798
O00268,age4,0.098404255,0.509301422
O00273,age1,-0.130785357,0.349549931
O00273,age2,0.287131108,0.037471715
O00273,age3,0.023990133,0.874065986
O00273,age4,0.379625347,0.008871954
O00291,age1,-0.03402677,0.80843911
O00291,age2,-0.115707144,0.408238072
O00291,age3,0.094912118,0.529182613
O00291,age4,0.024976873,0.867425457
O00299,age1,0.157797129,0.25830593
O00299,age2,0.187147234,0.17916772
O00299,age3,0.233795868,0.117752811
O00299,age4,0.027058279,0.856464678
O00303,age1,0.293017255,0.033610016
O00303,age2,-0.015481374,0.912307108
O00303,age3,0.036571076,0.808886216
O00303,age4,0.188020352,0.204997973
O00330,age1,0.260199968,0.060131823
O00330,age2,0.319303338,0.020177928
O00330,age3,-0.078630897,0.602390277
O00330,age4,0.113783534,0.445110188
O00339,age1,0.089501693,0.522832001
O00339,age2,0.37397194,0.006092728
O00339,age3,0.244526673,0.101474504
O00339,age4,0.43073543,0.002727653
O00391,age1,-0.004031608,0.977290827
O00391,age2,-0.357039187,0.00901237
O00391,age3,-0.159173605,0.289673238
O00391,age4,-0.051225717,0.73167762
O00399,age1,-0.036606999,0.79420438
O00399,age2,-0.128688921,0.357380475
O00399,age3,-0.053222325,0.724635564
O00399,age4,0.180157262,0.224845953
O00400,age1,0.05571682,0.691139546
O00400,age2,-0.072649573,0.604212376
O00400,age3,0.15942029,0.288918912
O00400,age4,0.161424607,0.277405309
O00401,age1,0.118368005,0.397484413
O00401,age2,-0.117319787,0.401700616
O00401,age3,0.182732038,0.223418691
O00401,age4,0.116905643,0.432651937
O00410,age1,0.023867118,0.865050777
O00410,age2,-0.202386712,0.145834292
O00410,age3,-0.058402714,0.699022817
O00410,age4,0.00346901,0.981771074
O00418,age1,0.184083212,0.186490003
O00418,age2,0.259313014,0.06103462
O00418,age3,-0.10120259,0.502130327
O00418,age4,-0.077705828,0.602590205
O00423,age1,0.208353491,0.13413182
O00423,age2,0.146911788,0.292918992
O00423,age3,-0.099352451,0.510012165
O00423,age4,0.044172063,0.767544253
O00429,age1,0.099661345,0.476582754
O00429,age2,-0.236413482,0.088390073
O00429,age3,-0.154609929,0.303861177
O00429,age4,0.009019426,0.952134416
O00442,age1,0.200370908,0.149955646
O00442,age2,0.297774552,0.030737166
O00442,age3,-0.259574468,0.081653189
O00442,age4,-0.055619796,0.709614649
